2021-10-20 14:47:23 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:47:24 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:47:24 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:47:26 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:47:26 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:47:27 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:47:27 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:27 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:27 INFO     正在从kugou下载 ——> kugou_Perfect...
2021-10-20 14:47:27 INFO     无法从kugou下载 ——> kugou_Perfect...
2021-10-20 14:47:27 INFO     正在从yiting下载 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:47:28 INFO     成功从yiting下载到了 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:47:28 INFO     正在从yiting下载 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:47:29 INFO     成功从yiting下载到了 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:47:29 INFO     正在从kugou下载 ——> kugou_Perfect...
2021-10-20 14:47:29 INFO     无法从kugou下载 ——> kugou_Perfect...
2021-10-20 14:47:29 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:30 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:30 INFO     正在从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:47:30 INFO     无法从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:47:30 INFO     正在从kuwo下载 ——> kuwo_Galway&nbsp;Girl...
2021-10-20 14:47:32 INFO     成功从kuwo下载到了 ——> kuwo_Galway&nbsp;Girl...
2021-10-20 14:47:32 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:47:33 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:47:33 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:47:34 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:47:34 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:47:35 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
